Ref interne,Désignation produit,Quantité,Format,Type papier,Grammage,Recto Verso,Couleurs,Finition,Reliure,Pages,Délai souhaité,Notes commerciales
COM-001,Cartes commerciales,500,85 x 55,Couché brillant,350g,R/V,Quadri / Quadri,Pelliculage mat,,,Standard,Logo refait janvier
COM-002,Flyers Salon Tech,2000,A5,couche brillant,135,recto seul,4 couleurs,sans,,,Urgent semaine 25,Vente promo - reprendre maquette 2025
COM-003,Brochure 24p tech,300,A4,offset,170 g,RV,quadrichromie,Vernis sélectif recto,Dos carré collé,24,2 semaines,Catalogue produits
COM-004,Affiche événement,150,42 x 59.4,couché demi-mat,170g,recto,quadri,,,, ,Affiches lancement
COM-005,Kakémono salon,3,80 x 200 cm,Bâche M1,440g,recto,Quadri 4c,,,,,Roll-up inclus
COM-006,Étiquettes adhésives produit,5000,40x30,Adhésif blanc,80g,Recto,2 couleurs Pantone,Vernis brillant,,,12 jours,Pantone 286 + 485
COM-007,Cartes commerciales,500,85x55,Couché brillant,350g,R/V,quadri/quadri,Pellic mat,,,Standard,DOUBLON COM-001 ?
COM-008,Dépliant 3 volets,1000,A4 ouvert,Couché mat,135g,R/V,quadri/quadri,,Plis roulés 2 plis,,1 semaine,Dépliant produits
COM-009,Affiche grand format,50,A1,Papier offset,90,recto,quadri,,,,,Affichage urbain
COM-010,Carte de correspondance,250,A6,Vergé crème,250g,recto verso,1 couleur noire,,,, ,Papier de prestige
COM-011,Banderole extérieure,2,400 x 100,Bâche extérieure 510g,,recto,quadri,Œillets 4 coins,,, ,Stand expo
COM-012,Brochure 16 pages,500,21x14.8,couché brillant,135g,RV,4c/4c,,Piqûre 2 points métal,16,3 semaines,Brochure technique
